Timestamp,Column
3/28/2014 19:39:17,Massimo Vignelli
3/28/2014 19:39:18,Massimo Vignelli
3/28/2014 19:39:18,Massimo Vignelli
3/28/2014 19:39:18,Massimo Vignelli
3/28/2014 19:39:18,Massimo Vignelli
3/28/2014 19:39:19,Massimo Vignelli
3/28/2014 19:39:19,Massimo Vignelli
3/28/2014 19:39:19,Massimo Vignelli
3/28/2014 19:39:19,Massimo Vignelli
3/28/2014 19:39:20,Massimo Vignelli
3/28/2014 19:39:19,Massimo Vignelli
3/28/2014 19:39:20,Massimo Vignelli
3/28/2014 19:39:20,Massimo Vignelli
3/28/2014 19:39:25,Massimo Vignelli
3/28/2014 19:40:01,Massimo Vignelli
3/28/2014 19:40:02,Massimo Vignelli
3/28/2014 19:40:02,Massimo Vignelli
3/28/2014 19:40:02,Massimo Vignelli
3/28/2014 19:40:03,Massimo Vignelli
3/28/2014 19:40:03,Massimo Vignelli
3/28/2014 19:40:03,Massimo Vignelli
3/28/2014 19:40:03,Massimo Vignelli
3/28/2014 19:40:04,Massimo Vignelli
3/28/2014 19:40:04,Massimo Vignelli
3/28/2014 19:40:04,Massimo Vignelli
3/28/2014 19:40:04,Massimo Vignelli
3/28/2014 19:40:04,Massimo Vignelli
3/28/2014 19:40:05,Massimo Vignelli
3/28/2014 19:40:05,Massimo Vignelli
3/28/2014 19:40:05,Massimo Vignelli
3/28/2014 19:40:05,Massimo Vignelli
3/28/2014 19:40:06,Massimo Vignelli
3/28/2014 19:40:06,Massimo Vignelli
3/28/2014 19:40:06,Massimo Vignelli
3/28/2014 19:40:07,Massimo Vignelli
3/28/2014 19:40:07,Massimo Vignelli
3/28/2014 19:40:07,Massimo Vignelli
3/28/2014 19:40:07,Massimo Vignelli
3/28/2014 19:40:08,Massimo Vignelli
3/28/2014 19:40:08,Massimo Vignelli
3/28/2014 19:40:09,Massimo Vignelli
3/28/2014 19:40:09,Massimo Vignelli
3/28/2014 19:40:09,Massimo Vignelli
3/28/2014 19:40:14,Massimo Vignelli
3/28/2014 19:40:14,Massimo Vignelli
3/28/2014 19:40:14,Massimo Vignelli
3/28/2014 19:40:14,Massimo Vignelli
3/28/2014 19:40:15,Massimo Vignelli
3/28/2014 19:40:15,Massimo Vignelli
3/28/2014 19:40:15,Massimo Vignelli
3/28/2014 19:40:15,Massimo Vignelli
3/28/2014 19:40:15,Massimo Vignelli
3/28/2014 19:40:16,Massimo Vignelli
3/28/2014 19:40:16,Massimo Vignelli
3/28/2014 19:40:16,Massimo Vignelli
3/28/2014 19:40:16,Massimo Vignelli
3/28/2014 19:40:16,Massimo Vignelli
3/28/2014 19:40:17,Massimo Vignelli
3/28/2014 19:40:17,Massimo Vignelli
3/28/2014 19:40:17,Massimo Vignelli
3/28/2014 19:40:18,Massimo Vignelli
3/28/2014 19:40:19,Massimo Vignelli
3/28/2014 19:40:19,Massimo Vignelli
3/28/2014 19:40:19,Massimo Vignelli
3/28/2014 19:40:21,Massimo Vignelli
3/28/2014 19:40:21,Massimo Vignelli
3/28/2014 19:40:21,Massimo Vignelli
3/28/2014 19:40:21,Massimo Vignelli
3/28/2014 19:40:22,Massimo Vignelli
3/28/2014 19:40:22,Massimo Vignelli
3/28/2014 19:40:22,Massimo Vignelli
3/28/2014 19:40:22,Massimo Vignelli
3/28/2014 19:40:22,Massimo Vignelli
3/28/2014 19:40:23,Massimo Vignelli
3/28/2014 19:40:23,Massimo Vignelli
3/28/2014 19:40:23,Massimo Vignelli
3/28/2014 19:40:23,Massimo Vignelli
3/28/2014 19:40:23,Massimo Vignelli
3/28/2014 19:40:24,Massimo Vignelli
3/28/2014 19:40:24,Massimo Vignelli
3/28/2014 19:40:24,Massimo Vignelli
3/28/2014 19:40:24,Massimo Vignelli
3/28/2014 19:40:25,Massimo Vignelli
3/28/2014 19:40:25,Massimo Vignelli
3/28/2014 19:40:25,Massimo Vignelli
3/28/2014 19:40:25,Massimo Vignelli
3/28/2014 19:40:25,Massimo Vignelli
3/28/2014 19:40:26,Massimo Vignelli
3/28/2014 19:40:26,Massimo Vignelli
3/28/2014 19:40:26,Massimo Vignelli
